Column1,Column2,Column3
房租,582,rent
同居,577,cohabitation
情侣,539,couples
AA制,475,splitting
该不该,458,whether
AA,120,split
应该,106,should
全文,101,fulltext
恋爱,96,love
问题,83,problems
觉得,79,feel
一起,73,together
aa,68,split
男方,68,man
多,60,alot
男人,58,man
女生,58,girl
怎么,55,how
结婚,54,marriage
不是,54,not
生活,54,life
让,53,
网页,53,
那,52,
就是,52,
钱,51,
还,51,
付,51,
谁,50,
还是,49,
可以,49,
感情,48,
两个,48,
微博,48,
制,43,
什么,43,
出,43,
女方,41,
男生,41,
没,39,
不要,38,
来说,38,
呢,38,
那么,37,
给,33,
该,33,
能,33,
双方,33,
?,33,
承担,32,
付出,32,
一律,32,
认为,31,
但,31,
女人,30,
跟,29,
但是,29,
她,29,
对方,29,
想,28,
你们,28,
,28,
来,28,
大家,28,
一定,28,
对,27,
时候,27,
啊,27,
中,26,
男,26,
分手,26,
这样,26,
算,26,
因为,25,
租房,25,
男朋友,25,
最好,23,
的话,23,
经济,23,
不能,23,
更,22,
是否,22,
清楚,22,
分担,22,
一说,22,
所以,22,
太,22,
视频,22,
爱情,22,
投票,22,
个人,21,
把,21,
愿意,21,
